source,scenario,method,n_farms,n_vars,n_foods,solve_time,build_time,obj_value,gap,n_quadratic,n_constraints,status,time_category,farms_per_food,total_area,test_type
statistical_comparison,statistical_5farms,gurobi,5,90,6,300.0018320083618,0.0,4.078209151759545,0.0,0,0,SUBOPTIMAL,TIMEOUT,0.8333333333333334,5.0,Statistical Gurobi
statistical_comparison,statistical_10farms,gurobi,10,180,6,300.0042369365692,0.0,7.174692355363064,0.0,0,0,SUBOPTIMAL,TIMEOUT,1.6666666666666667,10.0,Statistical Gurobi
statistical_comparison,statistical_10farms,gurobi,10,180,6,300.0022749900818,0.0,7.174692355363064,0.0,0,0,SUBOPTIMAL,TIMEOUT,1.6666666666666667,10.0,Statistical Gurobi
statistical_comparison,statistical_15farms,gurobi,15,270,6,300.0042991638184,0.0,11.526557122912862,0.0,0,0,SUBOPTIMAL,TIMEOUT,2.5,15.0,Statistical Gurobi
statistical_comparison,statistical_15farms,gurobi,15,270,6,300.0042762756348,0.0,11.526557122912862,0.0,0,0,SUBOPTIMAL,TIMEOUT,2.5,15.0,Statistical Gurobi
statistical_comparison,statistical_20farms,gurobi,20,360,6,300.0057621002197,0.0,14.887555626323916,0.0,0,0,SUBOPTIMAL,TIMEOUT,3.333333333333333,20.0,Statistical Gurobi
statistical_comparison,statistical_20farms,gurobi,20,360,6,300.007080078125,0.0,14.887555626323916,0.0,0,0,SUBOPTIMAL,TIMEOUT,3.333333333333333,20.0,Statistical Gurobi
hierarchical_test,hierarchical_25farms,gurobi,25,2025,6,300.3317811489105,0.0,12.322366321050083,0.050370130715091,0,0,SUBOPTIMAL,TIMEOUT,4.166666666666667,25.0,Hierarchical Gurobi
hierarchical_test,hierarchical_25farms,gurobi,25,2025,6,300.257896900177,0.0,12.322366321050083,0.0503776738880181,0,0,SUBOPTIMAL,TIMEOUT,4.166666666666667,25.0,Hierarchical Gurobi
hierarchical_test,hierarchical_50farms,gurobi,50,4050,6,300.6479229927063,0.0,23.581251663185185,0.0256650237358248,0,0,SUBOPTIMAL,TIMEOUT,8.333333333333334,50.0,Hierarchical Gurobi
hierarchical_test,hierarchical_50farms,gurobi,50,4050,6,300.6197118759155,0.0,23.581251663185185,0.0256651768324759,0,0,SUBOPTIMAL,TIMEOUT,8.333333333333334,50.0,Hierarchical Gurobi
hierarchical_test,hierarchical_100farms,gurobi,100,8100,6,300.86454606056213,0.0,46.085942684031465,0.0195237730064276,0,0,SUBOPTIMAL,TIMEOUT,16.666666666666668,100.0,Hierarchical Gurobi
hierarchical_test,hierarchical_100farms,gurobi,100,8100,6,301.011246919632,0.0,46.085942684031465,0.0195237730064276,0,0,SUBOPTIMAL,TIMEOUT,16.666666666666668,100.0,Hierarchical Gurobi
