source_file,scenario_id,method,n_farms,n_foods,n_vars,solve_time,objective,gap,success,qpu_time,embedding_time,time_category
statistical_comparison_20251211_180707.json,statistical_15farms,spatial_temporal,15,6,270,47.05672287940979,9.654994982962721,0.0,True,1.6091954000000008,0.0,MEDIUM
statistical_comparison_20251211_180707.json,statistical_20farms,gurobi,20,6,360,300.0057621002197,14.887555626323916,0.0,True,0.0,0.0,TIMEOUT
statistical_comparison_20251211_180707.json,statistical_20farms,clique_decomp,20,6,360,55.37224006652832,12.977097365015828,0.0,True,2.1455700000000006,0.0,MEDIUM
statistical_comparison_20251211_180707.json,statistical_20farms,clique_decomp,20,6,360,59.09640121459961,12.096936828385061,0.0,True,2.1455700000000006,0.0,MEDIUM
statistical_comparison_20251211_180707.json,statistical_20farms,spatial_temporal,20,6,360,56.27679419517517,12.121026565658433,0.0,True,2.186991480000001,0.0,MEDIUM
statistical_comparison_20251211_180707.json,statistical_20farms,spatial_temporal,20,6,360,67.93575286865234,11.778338790618957,0.0,True,2.186860679999999,0.0,MEDIUM
hierarchical_results_20251212_102334.json,hierarchical_25farms,gurobi,25,27,2025,0.07264328002929688,12.192437355905401,0.0,True,0.0,0.0,FAST
hierarchical_results_20251212_102334.json,hierarchical_25farms,hierarchical_qpu,25,27,2025,35.318368911743164,0.0,0.0,False,0.0,0.0,MEDIUM
hierarchical_results_20251212_102334.json,hierarchical_50farms,gurobi,50,27,4050,0.08887672424316406,23.42380780256358,0.0004508700085766154,True,0.0,0.0,FAST
hierarchical_results_20251212_102334.json,hierarchical_50farms,hierarchical_qpu,50,27,4050,67.25249171257019,0.0,0.0,False,0.0,0.0,MEDIUM
hierarchical_results_20251212_102334.json,hierarchical_100farms,gurobi,100,27,8100,0.1552140712738037,45.934261294125385,0.009852568123517464,True,0.0,0.0,FAST
hierarchical_results_20251212_102334.json,hierarchical_100farms,hierarchical_qpu,100,27,8100,137.06976985931396,0.0,0.0,False,0.0,0.0,TIMEOUT
hierarchical_results_20251212_124349.json,hierarchical_25farms,gurobi,25,27,2025,300.3317811489105,12.322366321050083,0.05037013071509105,True,0.0,0.0,TIMEOUT
hierarchical_results_20251212_124349.json,hierarchical_50farms,gurobi,50,27,4050,300.6479229927063,23.581251663185185,0.025665023735824844,True,0.0,0.0,TIMEOUT
hierarchical_results_20251212_124349.json,hierarchical_100farms,gurobi,100,27,8100,300.86454606056213,46.085942684031465,0.019523773006427624,True,0.0,0.0,TIMEOUT
roadmap_phase1_20251210_153224.json,roadmap_phase1_0farms,gurobi,0,6,135,0.009351015090942383,0.0,0.0,False,0.0,0.0,FAST
roadmap_phase1_20251210_153224.json,roadmap_phase1_0farms,direct_qpu,0,6,108,15.0326988697052,0.8348387908009459,0.0,True,0.24770276000000002,11.141885042190552,MEDIUM
roadmap_phase1_20251210_153224.json,roadmap_phase1_0farms,clique_qpu,0,6,108,3.8172402381896973,0.13215527638416405,0.0,True,0.25756596,0.0,FAST
roadmap_phase1_20251210_153224.json,roadmap_phase1_0farms,gurobi,0,6,72,120.01306509971619,3.6262688507037737,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase1_20251210_160658.json,roadmap_phase1_0farms,gurobi,0,6,25,0.043424129486083984,0.4945074492550744,0.0,True,0.0,0.0,FAST
roadmap_phase1_20251210_160658.json,roadmap_phase1_0farms,direct_qpu,0,6,20,4.025950908660889,0.5145,0.0,True,0.16348116000000001,0.12629485130310059,FAST
roadmap_phase1_20251210_160658.json,roadmap_phase1_0farms,clique_qpu,0,6,20,2.809683084487915,0.49441425857414256,0.0,True,0.21872076000000001,0.0,FAST
roadmap_phase1_20251210_160658.json,roadmap_phase1_0farms,gurobi,0,6,90,120.00401210784912,4.078209151759545,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase1_20251211_101235.json,roadmap_phase1_0farms,clique_qpu,0,6,20,2.3587050437927246,0.5024986501349865,0.0,True,0.22280076000000001,0.0,FAST
roadmap_phase2_20251210_162637.json,roadmap_phase2_5farms,gurobi,5,6,405,300.01207304000854,3.3756109136663994,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase2_20251210_162637.json,roadmap_phase2_10farms,gurobi,10,6,810,300.0315499305725,5.61160378194819,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase2_20251210_162637.json,roadmap_phase2_15farms,gurobi,15,6,1215,300.05163621902466,7.851808153838562,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase2_20251211_093320.json,roadmap_phase2_5farms,gurobi,5,6,90,300.00291895866394,4.078209151759545,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase2_20251211_093320.json,roadmap_phase2_10farms,gurobi,10,6,180,300.00243401527405,7.174692355363064,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase2_20251211_093320.json,roadmap_phase2_15farms,gurobi,15,6,270,300.0029239654541,11.526557122912862,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase3_20251210_165631.json,roadmap_phase3_10farms,gurobi,10,6,810,1.8969621658325195,0.0,0.0,False,0.0,0.0,FAST
roadmap_phase3_20251210_165631.json,roadmap_phase3_15farms,gurobi,15,6,1215,300.1196300983429,7.851595316447629,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase3_20251210_165631.json,roadmap_phase3_20farms,gurobi,20,6,1620,300.22640109062195,10.09398689597458,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase3_20251210_173135.json,roadmap_phase3_10farms,gurobi,10,6,180,300.00773572921753,7.174692355363064,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase3_20251210_173135.json,roadmap_phase3_15farms,gurobi,15,6,270,300.0040669441223,11.526557122912862,0.0,True,0.0,0.0,TIMEOUT
roadmap_phase3_20251210_173135.json,roadmap_phase3_20farms,gurobi,20,6,360,300.00598907470703,14.893791207352791,0.0,True,0.0,0.0,TIMEOUT
