n_farms,n_vars,gurobi_obj,gurobi_time,gurobi_status,qpu_obj,qpu_time,qpu_qpu_only,qpu_method,speedup,obj_ratio,gap_pct
5,90,4.078209151759545,210.0064516067505,TIMEOUT,3.745500016872332,18.308136026064556,0.8862869999999999,clique_decomp,11.470662622769066,0.9184178342732457,8.158216572675425
10,180,7.174692355363064,240.01113367080688,TIMEOUT,6.488827795272849,38.98438982963562,1.6219608400000005,spatial_temporal,6.156595876443662,0.9044050216902286,9.559497830977136
15,270,11.526557122912862,300.0369902610779,TIMEOUT,10.410154866584758,45.406031250953674,2.05950273,spatial_temporal,6.60786644405915,0.9031452111481855,9.685478885181453
20,360,14.893791207352791,300.07938408851624,TIMEOUT,12.977097365015828,57.234320640563965,2.1455700000000006,clique_decomp,5.24299722142311,0.8713092042413804,12.869079575861964
25,450,12.322366321050083,150.2022122144699,TIMEOUT,,,,,,,
50,900,23.581251663185185,150.36839985847473,TIMEOUT,,,,,,,
100,1800,46.085942684031465,150.50988006591797,TIMEOUT,,,,,,,
