scenario,n_vars,gurobi_obj,qpu_obj,violations,gap,gap_per_viol
rotation_micro_25,90,6.168884162643764,-4.863684770998783,1,-1.3051993916449804,-1.3051993916449804
rotation_small_50,180,8.687446707523605,-21.786671592696617,7,13.099224885173012,1.8713178407390016
rotation_15farms_6foods,270,9.67541763098427,-26.216094322837655,10,16.540676691853385,1.6540676691853384
rotation_medium_100,360,12.784948306474519,-39.243209384127354,13,26.458261077652836,2.0352508521271413
rotation_25farms_6foods,450,13.45030359981726,-52.67387666803894,17,39.22357306822168,2.3072690040130404
rotation_50farms_6foods,900,26.91964898820862,-109.66745444448111,34,82.74780545627249,2.4337589840080143
rotation_75farms_6foods,1350,40.370088048114894,-161.4393698688119,54,121.069281820697,2.2420237374203147
rotation_100farms_6foods,1800,53.76509665723643,-229.14286690955802,79,175.3777702523216,2.219971775345843
rotation_large_200,900,21.566293977258738,-94.63941019791295,32,73.07311622065421,2.283534881895444
rotation_25farms_27foods,2025,11.675710988812511,-57.6042144530338,16,45.928503464221286,2.8705314665138304
rotation_50farms_27foods,4050,23.35510608408407,-102.61020652436801,32,79.25510044028394,2.476721888758873
rotation_100farms_27foods,8100,46.68364623525099,-235.11386057524436,74,188.43021433999337,2.546354247837748
rotation_200farms_27foods,16200,93.51578256484049,-500.5923285338888,157,407.0765459690483,2.592844241841072
