n_farms,n_vars,gurobi_time,gurobi_obj,quantum_time,quantum_obj,qpu_time,speedup,gap_percent,gurobi_crops,quantum_crops
25,450,300.29483902454376,12.322366321050083,34.30958390235901,28.928124879451328,0.59553,8.752506001796673,134.76111751388137,0,16.0
50,900,300.6338174343109,23.581251663185185,69.60863947868347,55.13193688245534,1.1910665999999999,4.3189152910591675,133.79563421786798,0,16.0
100,1800,300.93789649009705,46.085942684031465,136.00442445278168,106.03738260037518,2.3821144000000003,2.212706665249536,130.0861747092277,0,16.0
