scenario,n_farms,n_foods,n_vars,gurobi_time,gurobi_obj,quantum_time,quantum_obj,qpu_time,speedup,gap_percent,gurobi_crops,quantum_crops
rotation_micro_25,5,6,90,0.48531508445739746,5.138354276366847,8.283499002456665,9.167325442712794,0.11910348000000001,0.05858817443129599,78.40975825424582,0,9.0
rotation_small_50,10,6,180,100.10136890411377,8.039193743077647,14.089700937271118,16.933114858069082,0.23821096,7.104577261772691,110.63200364650714,0,9.0
rotation_medium_100,20,6,360,100.17790699005127,15.856892195046896,28.556303024291992,29.40410556837527,0.47644071999999993,3.5080839037473766,85.43422763232269,0,9.0
rotation_large_200,40,6,720,100.2924702167511,33.28751298833771,58.07856512069702,44.972184297490145,0.95288864,1.7268413916274703,35.10226586541975,0,9.0
rotation_250farms_27foods,250,27,20250,101.96775817871094,116.8477467078942,369.2524571418762,261.22523902578604,5.955354799999997,0.2761464580844545,123.56035643444525,0,16.0
