scenario,n_farms,n_foods,n_vars,gurobi_time,gurobi_obj,quantum_time,quantum_obj,qpu_time,speedup,gap_percent,gurobi_crops,quantum_crops
rotation_micro_25,5,6,90,8.97553300857544,6.168884162643764,11.00722599029541,3.980673224029944,0.11910228,0.8154218889017791,35.47174628216768,0,9.0
rotation_medium_100,20,6,360,100.42888712882996,16.885000285828312,35.72867393493652,3.7850104055763825,0.47642792,2.8108764213224187,77.5835928841934,0,9.0
rotation_50farms_6foods,50,6,900,100.50933599472046,41.640592212135346,100.38674902915955,5.303056972615076,1.1910783999999999,1.0012211468818988,87.26469367774841,0,9.0
